token,timestamp,funding_rate
BTCUSDT,1655308800008,-6.66e-06
BTCUSDT,1655337600009,-4.114e-05
BTCUSDT,1655366400016,4.475e-05
BTCUSDT,1655395200000,-5.277e-05
BTCUSDT,1655424000008,-2.222e-05
BTCUSDT,1655452800003,-9.486e-05
BTCUSDT,1655481600000,5.092e-05
BTCUSDT,1655510400020,7.356e-05
BTCUSDT,1655539200025,4.575e-05
BTCUSDT,1655568000014,5.227e-05
BTCUSDT,1655596800012,4.243e-05
BTCUSDT,1655625600012,-4.559e-05
BTCUSDT,1655654400008,7.239e-05
BTCUSDT,1655683200016,8.73e-06
BTCUSDT,1655712000000,-5.4e-06
BTCUSDT,1655740800013,6.08e-05
BTCUSDT,1655769600012,0.0001
BTCUSDT,1655798400018,4.967e-05
BTCUSDT,1655827200010,2.028e-05
BTCUSDT,1655856000000,1.78e-06
BTCUSDT,1655884800001,-2.982e-05
BTCUSDT,1655913600012,-1.64e-05
BTCUSDT,1655942400000,-8.72e-06
BTCUSDT,1655971200000,-1.577e-05
BTCUSDT,1656000000016,-2.656e-05
BTCUSDT,1656028800005,6.006e-05
BTCUSDT,1656057600004,0.0001
BTCUSDT,1656086400018,0.0001
BTCUSDT,1656115200001,2.621e-05
BTCUSDT,1656144000010,0.0001
BTCUSDT,1656172800000,0.0001
BTCUSDT,1656201600002,0.0001
BTCUSDT,1656230400016,0.0001
BTCUSDT,1656259200006,6.69e-06
BTCUSDT,1656288000008,7.82e-05
BTCUSDT,1656316800000,3.533e-05
BTCUSDT,1656345600016,6.102e-05
BTCUSDT,1656374400016,-2.586e-05
BTCUSDT,1656403200001,-5.613e-05
BTCUSDT,1656432000005,2.435e-05
BTCUSDT,1656460800000,4.188e-05
BTCUSDT,1656489600013,8.335e-05
BTCUSDT,1656518400000,5.319e-05
BTCUSDT,1656547200000,3.24e-06
BTCUSDT,1656576000000,-5.159e-05
BTCUSDT,1656604800000,-0.00015879
BTCUSDT,1656633600001,-8.786e-05
BTCUSDT,1656662400017,3.106e-05
BTCUSDT,1656691200005,-8.061e-05
BTCUSDT,1656720000000,-2.913e-05
BTCUSDT,1656748800000,5.218e-05
BTCUSDT,1656777600008,2.12e-05
BTCUSDT,1656806400015,3.57e-05
BTCUSDT,1656835200004,4.779e-05
BTCUSDT,1656864000005,7.251e-05
BTCUSDT,1656892800021,7.792e-05
BTCUSDT,1656921600001,4.63e-05
BTCUSDT,1656950400000,2.248e-05
BTCUSDT,1656979200000,5.291e-05
BTCUSDT,1657008000000,0.0001
BTCUSDT,1657036800015,1.2e-06
BTCUSDT,1657065600006,0.0001
BTCUSDT,1657094400000,0.0001
BTCUSDT,1657123200000,8.373e-05
BTCUSDT,1657152000010,5.274e-05
BTCUSDT,1657180800010,0.0001
BTCUSDT,1657209600011,0.0001
BTCUSDT,1657238400008,2.12e-06
BTCUSDT,1657267200009,0.0001
BTCUSDT,1657296000000,0.0001
BTCUSDT,1657324800000,0.0001
BTCUSDT,1657353600000,0.0001
BTCUSDT,1657382400009,6.143e-05
BTCUSDT,1657411200001,9.962e-05
BTCUSDT,1657440000002,0.0001
BTCUSDT,1657468800001,0.0001
BTCUSDT,1657497600000,4.543e-05
BTCUSDT,1657526400003,7.236e-05
BTCUSDT,1657555200001,8.5e-05
BTCUSDT,1657584000000,8.003e-05
BTCUSDT,1657612800021,6.433e-05
BTCUSDT,1657641600000,2.667e-05
BTCUSDT,1657670400012,-1.204e-05
BTCUSDT,1657699200022,6.17e-06
BTCUSDT,1657728000005,-1.218e-05
BTCUSDT,1657756800017,5.7e-07
BTCUSDT,1657785600001,0.0001
BTCUSDT,1657814400000,3.451e-05
BTCUSDT,1657843200004,9.257e-05
BTCUSDT,1657872000019,1.401e-05
BTCUSDT,1657900800017,1.601e-05
BTCUSDT,1657929600021,6.055e-05
BTCUSDT,1657958400014,7.996e-05
BTCUSDT,1657987200005,8e-06
BTCUSDT,1658016000000,8.038e-05
BTCUSDT,1658044800003,0.0001
BTCUSDT,1658073600007,8.709e-05
BTCUSDT,1658102400001,0.0001
BTCUSDT,1658131200004,0.0001
BTCUSDT,1658160000019,0.0001
BTCUSDT,1658188800000,0.0001
BTCUSDT,1658217600000,0.0001
BTCUSDT,1658246400001,0.0001
BTCUSDT,1658275200004,0.0001
BTCUSDT,1658304000000,0.0001
BTCUSDT,1658332800003,8.118e-05
BTCUSDT,1658361600000,0.0001
BTCUSDT,1658390400018,0.0001
BTCUSDT,1658419200011,0.0001
BTCUSDT,1658448000014,0.0001
BTCUSDT,1658476800000,0.0001
BTCUSDT,1658505600000,5.172e-05
BTCUSDT,1658534400004,9.043e-05
BTCUSDT,1658563200002,1.021e-05
BTCUSDT,1658592000001,0.0001
BTCUSDT,1658620800000,3.77e-05
BTCUSDT,1658649600011,0.0001
BTCUSDT,1658678400000,8.293e-05
BTCUSDT,1658707200000,0.0001
BTCUSDT,1658736000014,1.238e-05
BTCUSDT,1658764800006,2.319e-05
BTCUSDT,1658793600010,0.0001
BTCUSDT,1658822400000,3.654e-05
BTCUSDT,1658851200000,8.659e-05
BTCUSDT,1658880000008,4.591e-05
BTCUSDT,1658908800000,5.085e-05
BTCUSDT,1658937600003,2.951e-05
BTCUSDT,1658966400009,9.229e-05
BTCUSDT,1658995200008,0.0001
BTCUSDT,1659024000013,0.0001
BTCUSDT,1659052800000,0.0001
BTCUSDT,1659081600000,0.0001
BTCUSDT,1659110400000,0.0001
BTCUSDT,1659139200005,0.0001
BTCUSDT,1659168000009,0.0001
BTCUSDT,1659196800000,0.0001
BTCUSDT,1659225600022,0.0001
BTCUSDT,1659254400011,0.0001
BTCUSDT,1659283200019,6.281e-05
BTCUSDT,1659312000010,0.0001
BTCUSDT,1659340800019,0.0001
BTCUSDT,1659369600017,6.449e-05
BTCUSDT,1659398400000,0.0001
BTCUSDT,1659427200007,9.733e-05
BTCUSDT,1659456000014,5.885e-05
BTCUSDT,1659484800001,3.28e-06
BTCUSDT,1659513600020,-3.96e-05
BTCUSDT,1659542400008,4.382e-05
BTCUSDT,1659571200001,-1.91e-06
BTCUSDT,1659600000009,1.778e-05
BTCUSDT,1659628800015,1.436e-05
BTCUSDT,1659657600005,1.692e-05
BTCUSDT,1659686400000,6.774e-05
BTCUSDT,1659715200000,2.115e-05
BTCUSDT,1659744000021,6.888e-05
BTCUSDT,1659772800000,8.589e-05
BTCUSDT,1659801600015,0.0001
BTCUSDT,1659830400013,0.0001
BTCUSDT,1659859200000,-7.37e-06
BTCUSDT,1659888000014,2.401e-05
BTCUSDT,1659916800009,0.0001
BTCUSDT,1659945600006,2.79e-05
BTCUSDT,1659974400000,0.0001
BTCUSDT,1660003200020,0.0001
BTCUSDT,1660032000000,7.92e-05
BTCUSDT,1660060800000,0.0001
BTCUSDT,1660089600000,-1.314e-05
BTCUSDT,1660118400016,5.81e-06
BTCUSDT,1660147200018,9.44e-05
BTCUSDT,1660176000012,7.206e-05
BTCUSDT,1660204800000,0.0001
BTCUSDT,1660233600000,4.911e-05
BTCUSDT,1660262400006,9.024e-05
BTCUSDT,1660291200000,1.412e-05
BTCUSDT,1660320000005,-3.384e-05
BTCUSDT,1660348800012,-3.559e-05
BTCUSDT,1660377600006,8.455e-05
BTCUSDT,1660406400018,2.154e-05
BTCUSDT,1660435200000,2.396e-05
BTCUSDT,1660464000000,-3.33e-06
BTCUSDT,1660492800000,1.239e-05
BTCUSDT,1660521600010,-3.766e-05
BTCUSDT,1660550400002,1.077e-05
BTCUSDT,1660579200010,-1.339e-05
BTCUSDT,1660608000010,3.243e-05
BTCUSDT,1660636800002,1.56e-06
BTCUSDT,1660665600000,2.87e-05
BTCUSDT,1660694400020,4.66e-06
BTCUSDT,1660723200016,2.62e-06
BTCUSDT,1660752000001,9.364e-05
BTCUSDT,1660780800005,8.391e-05
BTCUSDT,1660809600012,0.0001
BTCUSDT,1660838400013,7.171e-05
BTCUSDT,1660867200000,0.0001
BTCUSDT,1660896000000,2.108e-05
BTCUSDT,1660924800009,-6.746e-05
BTCUSDT,1660953600000,1.07e-05
BTCUSDT,1660982400005,-6.722e-05
BTCUSDT,1661011200000,-4.567e-05
BTCUSDT,1661040000010,-1.957e-05
BTCUSDT,1661068800013,-3.589e-05
BTCUSDT,1661097600000,-3.234e-05
BTCUSDT,1661126400011,-8.092e-05
BTCUSDT,1661155200005,-3.215e-05
BTCUSDT,1661184000005,4.021e-05
BTCUSDT,1661212800000,-3.345e-05
BTCUSDT,1661241600021,-4.031e-05
BTCUSDT,1661270400005,8.46e-06
BTCUSDT,1661299200017,2.509e-05
BTCUSDT,1661328000021,-4.353e-05
BTCUSDT,1661356800000,-3.538e-05
BTCUSDT,1661385600003,1.28e-06
BTCUSDT,1661414400000,1.547e-05
BTCUSDT,1661443200004,4.481e-05
BTCUSDT,1661472000001,-1.707e-05
BTCUSDT,1661500800004,3.207e-05
BTCUSDT,1661529600000,2.599e-05
BTCUSDT,1661558400010,-2.808e-05
BTCUSDT,1661587200007,-6.29e-05
BTCUSDT,1661616000008,-4.396e-05
BTCUSDT,1661644800019,-1.396e-05
BTCUSDT,1661673600000,-8.758e-05
BTCUSDT,1661702400000,-2.443e-05
BTCUSDT,1661731200000,-0.00013623
BTCUSDT,1661760000000,-0.00010056
BTCUSDT,1661788800001,-6.193e-05
BTCUSDT,1661817600001,1.123e-05
BTCUSDT,1661846400005,-3.356e-05
BTCUSDT,1661875200010,-5.903e-05
BTCUSDT,1661904000000,-2.089e-05
BTCUSDT,1661932800005,5.779e-05
BTCUSDT,1661961600013,4.95e-05
BTCUSDT,1661990400012,9.39e-05
BTCUSDT,1662019200000,2.266e-05
BTCUSDT,1662048000013,3.63e-05
BTCUSDT,1662076800002,2.498e-05
BTCUSDT,1662105600013,4.905e-05
BTCUSDT,1662134400000,4.443e-05
BTCUSDT,1662163200000,-1.99e-06
BTCUSDT,1662192000002,9.442e-05
BTCUSDT,1662220800007,1.115e-05
BTCUSDT,1662249600008,5.88e-06
BTCUSDT,1662278400009,5.463e-05
BTCUSDT,1662307200000,2.119e-05
BTCUSDT,1662336000015,8.292e-05
BTCUSDT,1662364800013,-7.37e-06
BTCUSDT,1662393600007,4.712e-05
BTCUSDT,1662422400018,-2.45e-06
BTCUSDT,1662451200020,3.43e-06
BTCUSDT,1662480000028,3.473e-05
BTCUSDT,1662508800013,-8.601e-05
BTCUSDT,1662537600022,2.729e-05
BTCUSDT,1662566400021,-3.48e-05
BTCUSDT,1662595200010,6.2e-06
BTCUSDT,1662624000000,3.327e-05
BTCUSDT,1662652800003,5.667e-05
BTCUSDT,1662681600011,1.312e-05
BTCUSDT,1662710400000,0.0001
BTCUSDT,1662739200000,0.0001
BTCUSDT,1662768000003,0.0001
BTCUSDT,1662796800000,9.764e-05
BTCUSDT,1662825600012,0.0001
BTCUSDT,1662854400009,7.115e-05
BTCUSDT,1662883200012,0.0001
BTCUSDT,1662912000005,6.712e-05
BTCUSDT,1662940800007,0.0001
BTCUSDT,1662969600013,8.246e-05
BTCUSDT,1662998400000,0.0001
BTCUSDT,1663027200004,9.965e-05
BTCUSDT,1663056000000,0.0001
BTCUSDT,1663084800000,0.0001
BTCUSDT,1663113600000,-3.953e-05
BTCUSDT,1663142400000,7.27e-06
BTCUSDT,1663171200000,1.004e-05
BTCUSDT,1663200000019,3.24e-06
BTCUSDT,1663228800012,0.0001
BTCUSDT,1663257600007,8.13e-06
BTCUSDT,1663286400000,8.055e-05
BTCUSDT,1663315200000,4.349e-05
BTCUSDT,1663344000000,2.919e-05
BTCUSDT,1663372800000,3.024e-05
BTCUSDT,1663401600012,4.336e-05
BTCUSDT,1663430400017,1.467e-05
BTCUSDT,1663459200000,6.428e-05
BTCUSDT,1663488000004,7.82e-05
BTCUSDT,1663516800000,3.564e-05
BTCUSDT,1663545600018,3.581e-05
BTCUSDT,1663574400006,-9.289e-05
BTCUSDT,1663603200010,6e-06
BTCUSDT,1663632000007,7.813e-05
BTCUSDT,1663660800001,5.855e-05
BTCUSDT,1663689600000,1.721e-05
BTCUSDT,1663718400001,5.185e-05
BTCUSDT,1663747200005,1.478e-05
BTCUSDT,1663776000000,2.732e-05
BTCUSDT,1663804800000,-0.00011779
BTCUSDT,1663833600000,-6.911e-05
BTCUSDT,1663862400011,7.743e-05
BTCUSDT,1663891200023,7.261e-05
BTCUSDT,1663920000004,2.959e-05
BTCUSDT,1663948800005,-5.008e-05
BTCUSDT,1663977600000,2.947e-05
BTCUSDT,1664006400005,1.676e-05
BTCUSDT,1664035200000,5.345e-05
BTCUSDT,1664064000010,9.99e-06
BTCUSDT,1664092800000,3.653e-05
BTCUSDT,1664121600003,2.593e-05
BTCUSDT,1664150400001,-6.6e-06
BTCUSDT,1664179200006,3.696e-05
BTCUSDT,1664208000000,4.497e-05
BTCUSDT,1664236800026,2.244e-05
BTCUSDT,1664265600004,0.0001
BTCUSDT,1664294400006,8.538e-05
BTCUSDT,1664323200011,1.141e-05
BTCUSDT,1664352000000,-1.071e-05
BTCUSDT,1664380800000,5.332e-05
BTCUSDT,1664409600010,5.681e-05
BTCUSDT,1664438400000,7.641e-05
BTCUSDT,1664467200000,6.685e-05
BTCUSDT,1664496000006,0.0001
BTCUSDT,1664524800002,0.0001
BTCUSDT,1664553600007,0.0001
BTCUSDT,1664582400008,3.198e-05
BTCUSDT,1664611200011,0.0001
BTCUSDT,1664640000000,7.005e-05
BTCUSDT,1664668800000,4.262e-05
BTCUSDT,1664697600000,5.816e-05
BTCUSDT,1664726400006,5.384e-05
BTCUSDT,1664755200000,3.996e-05
BTCUSDT,1664784000014,8.316e-05
BTCUSDT,1664812800010,0.0001
BTCUSDT,1664841600006,0.0001
BTCUSDT,1664870400004,0.0001
BTCUSDT,1664899200013,0.0001
BTCUSDT,1664928000000,0.0001
BTCUSDT,1664956800000,0.0001
BTCUSDT,1664985600012,0.0001
BTCUSDT,1665014400008,0.0001
BTCUSDT,1665043200002,0.0001
BTCUSDT,1665072000006,0.0001
BTCUSDT,1665100800000,0.0001
BTCUSDT,1665129600000,0.0001
BTCUSDT,1665158400007,7.513e-05
BTCUSDT,1665187200010,3.85e-05
BTCUSDT,1665216000004,7.345e-05
BTCUSDT,1665244800018,4.149e-05
BTCUSDT,1665273600000,3.246e-05
BTCUSDT,1665302400007,1.776e-05
BTCUSDT,1665331200011,1.951e-05
BTCUSDT,1665360000018,6.241e-05
BTCUSDT,1665388800000,6.069e-05
BTCUSDT,1665417600026,0.0001
BTCUSDT,1665446400020,0.0001
BTCUSDT,1665475200027,0.0001
BTCUSDT,1665504000000,0.0001
BTCUSDT,1665532800014,0.0001
BTCUSDT,1665561600000,0.0001
BTCUSDT,1665590400000,0.0001
BTCUSDT,1665619200013,7.466e-05
BTCUSDT,1665648000016,0.0001
BTCUSDT,1665676800009,3.936e-05
BTCUSDT,1665705600020,3.235e-05
BTCUSDT,1665734400000,0.0001
BTCUSDT,1665763200009,8.395e-05
BTCUSDT,1665792000001,4.317e-05
BTCUSDT,1665820800005,3.772e-05
BTCUSDT,1665849600004,4.563e-05
BTCUSDT,1665878400012,2.735e-05
BTCUSDT,1665907200000,4.61e-06
BTCUSDT,1665936000010,3.394e-05
BTCUSDT,1665964800012,3.31e-06
BTCUSDT,1665993600010,4.84e-05
BTCUSDT,1666022400017,6.458e-05
BTCUSDT,1666051200010,0.0001
BTCUSDT,1666080000008,0.0001
BTCUSDT,1666108800000,0.0001
BTCUSDT,1666137600007,7.598e-05
BTCUSDT,1666166400022,0.0001
BTCUSDT,1666195200016,0.0001
BTCUSDT,1666224000000,0.0001
BTCUSDT,1666252800013,6.021e-05
BTCUSDT,1666281600000,2.095e-05
BTCUSDT,1666310400005,4.708e-05
BTCUSDT,1666339200018,4.483e-05
BTCUSDT,1666368000000,-8.9e-06
BTCUSDT,1666396800000,3.721e-05
BTCUSDT,1666425600015,8.36e-05
BTCUSDT,1666454400000,-3.19e-06
BTCUSDT,1666483200025,4.152e-05
BTCUSDT,1666512000000,1.171e-05
BTCUSDT,1666540800004,5.174e-05
BTCUSDT,1666569600009,0.0001
BTCUSDT,1666598400012,0.0001
BTCUSDT,1666627200002,2.328e-05
BTCUSDT,1666656000013,4.327e-05
BTCUSDT,1666684800013,9.019e-05
BTCUSDT,1666713600000,-1.66e-06
BTCUSDT,1666742400006,2.243e-05
BTCUSDT,1666771200013,5.665e-05
BTCUSDT,1666800000000,6.122e-05
BTCUSDT,1666828800009,1.3e-07
BTCUSDT,1666857600006,-2.276e-05
BTCUSDT,1666886400009,1.376e-05
BTCUSDT,1666915200000,-1.228e-05
BTCUSDT,1666944000000,3.541e-05
BTCUSDT,1666972800007,-2.629e-05
BTCUSDT,1667001600000,2.484e-05
BTCUSDT,1667030400003,4.755e-05
BTCUSDT,1667059200010,4.205e-05
BTCUSDT,1667088000000,-2.515e-05
BTCUSDT,1667116800013,3.212e-05
