token,timestamp,open,high,low,close,volume
BTCUSDT,1651363200000,37614.4,38680.6,37350.0,38440.5,236549.462
BTCUSDT,1651449600000,38440.2,39222.0,38032.2,38525.6,336845.365
BTCUSDT,1651536000000,38525.5,38674.7,37500.1,37712.9,248986.222
BTCUSDT,1651622400000,37713.0,40071.7,37655.2,39684.0,424498.818
BTCUSDT,1651708800000,39684.1,39845.0,35388.0,36534.7,547209.0
BTCUSDT,1651795200000,36533.7,36679.3,35200.0,35995.3,431979.24
BTCUSDT,1651881600000,35995.2,36138.0,34700.0,35466.7,200264.833
BTCUSDT,1651968000000,35466.7,35504.0,33665.0,34032.0,426872.584
BTCUSDT,1652054400000,34032.1,34243.3,30003.6,30056.6,1078779.712
BTCUSDT,1652140800000,30056.0,32650.0,29701.4,31002.1,863178.961
BTCUSDT,1652227200000,31002.1,32197.6,27651.0,29074.7,1101875.972
BTCUSDT,1652313600000,29077.9,30257.0,26631.0,29020.7,964475.589
BTCUSDT,1652400000000,29020.8,31072.6,28730.4,29274.3,507620.105
BTCUSDT,1652486400000,29274.2,30352.2,28602.3,30079.8,315756.895
BTCUSDT,1652572800000,30079.5,31462.0,29448.0,31324.4,336773.139
BTCUSDT,1652659200000,31324.3,31327.4,29052.3,29866.7,507243.166
BTCUSDT,1652745600000,29866.4,30794.0,29420.0,30437.0,398624.519
BTCUSDT,1652832000000,30437.0,30700.0,28629.6,28700.6,426700.457
BTCUSDT,1652918400000,28700.6,30550.0,28670.5,30319.9,448856.724
BTCUSDT,1653004800000,30319.9,30784.4,28702.0,29188.9,485439.171
BTCUSDT,1653091200000,29188.9,29650.0,28927.0,29427.4,202804.089
BTCUSDT,1653177600000,29427.4,30500.0,29223.6,30284.0,297116.44
BTCUSDT,1653264000000,30284.0,30658.0,28840.7,29097.7,475720.75
BTCUSDT,1653350400000,29097.8,29887.3,28637.6,29643.1,382124.449
BTCUSDT,1653436800000,29643.0,30246.7,29330.0,29536.7,413459.484
BTCUSDT,1653523200000,29536.7,29877.0,27952.1,29194.0,602137.086
BTCUSDT,1653609600000,29194.0,29387.0,28259.6,28623.2,506638.884
BTCUSDT,1653696000000,28623.3,29265.7,28520.0,29018.8,193644.283
BTCUSDT,1653782400000,29018.8,29595.2,28825.0,29452.8,215139.934
BTCUSDT,1653868800000,29452.6,32307.6,29301.1,31726.5,502712.176
BTCUSDT,1653955200000,31726.5,32427.5,31222.0,31797.8,383688.265
BTCUSDT,1654041600000,31797.9,31986.1,29300.0,29796.9,556992.756
BTCUSDT,1654128000000,29796.9,30750.0,29566.1,30437.1,370924.687
BTCUSDT,1654214400000,30437.1,30693.2,29220.0,29682.8,357110.377
BTCUSDT,1654300800000,29682.8,29988.0,29456.0,29848.4,187520.534
BTCUSDT,1654387200000,29848.5,30250.0,29524.0,29909.9,205385.831
BTCUSDT,1654473600000,29910.0,31780.0,29876.2,31361.2,436522.874
BTCUSDT,1654560000000,31361.2,31599.0,29190.0,31118.1,691714.985
BTCUSDT,1654646400000,31118.0,31325.0,29825.0,30192.5,455686.637
BTCUSDT,1654732800000,30192.6,30691.9,29914.5,30093.3,307312.175
BTCUSDT,1654819200000,30093.4,30374.1,28805.0,29077.7,445928.659
BTCUSDT,1654905600000,29077.7,29427.9,28080.0,28416.7,391367.814
BTCUSDT,1654992000000,28416.6,28530.3,26538.7,26564.7,560834.131
BTCUSDT,1655078400000,26564.7,26877.0,21900.0,22471.5,1622521.56
BTCUSDT,1655164800000,22471.4,23424.2,20823.0,22122.7,1247609.796
BTCUSDT,1655251200000,22122.7,22800.0,20100.2,22567.5,1509301.169
BTCUSDT,1655337600000,22567.5,23000.0,20222.0,20387.4,882634.22
BTCUSDT,1655424000000,20387.4,21388.0,20228.0,20457.3,776153.257
BTCUSDT,1655510400000,20457.3,20768.4,17593.2,18959.7,1268591.388
BTCUSDT,1655596800000,18959.7,20821.0,17935.9,20564.2,1089275.674
BTCUSDT,1655683200000,20564.3,21099.9,19630.0,20570.1,935816.13
BTCUSDT,1655769600000,20570.0,21740.0,20337.8,20713.1,787173.936
